price_count,seller_name,price,nnumber,qa_count,snumber,seller_score,content,seller_logint,title
"
出價紀錄(23)
            ",ikanolife,"1,099",80,"
問與答(13)
            ",20,592,,上次登入：2016-06-04,【ikanolife】Apple 85W 二代 電源供應器Mac book Pro 15 充電蘋果電腦插頭retina
"
出價紀錄(10)
            ",itnken,500,5,"
問與答(0)
            ",6,13706,,上次登入：2016-06-05,英特奈 HP 康柏 Compaq CQ40 CQ41 CQ45 全新 英文 中文 繁體 注音 筆電 鍵盤
"
出價紀錄(20)
            ",itnken,500,18,"
問與答(12)
            ",19,13706,,上次登入：2016-06-05,☆REOK☆ ASUS 華碩 K42N K43 K43B K43BE K43BR K43BY K43E K43S K43SA K43SD K43SJ K43SM K43SV K43T K43TA 繁體中文鍵盤 A42
"
出價紀錄(21)
            ",itnken,380,37,"
問與答(22)
            ",20,13706,,上次登入：2016-06-05,☆REOK☆ 東芝 TOSHIBA Satellite L800 L805 L830 L840 L845 M800 M805 M840 C800 C805 C830 C840 C845 繁體 中文 鍵盤 TOL800
"
出價紀錄(10)
            ",itnken,750,47,"
問與答(5)
            ",11,13706,,上次登入：2016-06-05,☆REOK☆ 華碩 ASUS EeePC Eee PC EPC 1011BX 1011CX 1011P 1011PX 1011T 1015B 1015BX 1015CX 1015E 繁體 中文 鍵盤 AS1015
"
出價紀錄(42)
            ",yuyu0913,180,959,"
問與答(26)
            ",40,9813,,上次登入：2016-06-04,機身保護貼膜 Apple MacBook Air Pro Retina 11/12/13/15 防刮耐刮腕托 蘋果 半托
"
出價紀錄(13)
            ",itnken,540,994,"
問與答(7)
            ",12,13706,,上次登入：2016-06-05,全新 HP 惠普 DV3000 DV3200 DV3500 DV3700 繁體中文鍵盤
"
出價紀錄(66)
            ",alen0530,55,4,"
問與答(85)
            ",53,35800,,上次登入：2016-06-04,【妞妞♥３C】APPLE蘋果 Macbook Air Pro Retina 11 13 15 17 防塵塞 防水 防塵
"
出價紀錄(34)
            ",cardy0728,249,72,"
問與答(28)
            ",28,20768,,上次登入：2016-06-04,【EZstick】ASUS X205 X205TA 系列 專用奈米銀抗菌TPU鍵盤保護膜
"
出價紀錄(2)
            ",a88800566,"6,500,999",3,"
問與答(15)
            ",0,3230,,上次登入：2016-06-05,I5四核心 500G大容量硬碟獨立顯卡1G 二手 ASUS 雙核心 14吋筆電 遊戲繪圖機器 U45 U45JC U45
"
出價紀錄(21)
            ",itnken,170,978,"
問與答(18)
            ",21,13706,,上次登入：2016-06-05,☆REOK☆ ASUS 華碩 F3F F3J F3S F3L F3M F3N F3T F3D F3E F3H F8F F8J F8S F8L F8M CPU風扇 筆電風扇 散熱 NB風扇
"
出價紀錄(63)
            ",cardy0728,449,94,"
問與答(92)
            ",56,20768,,上次登入：2016-06-04,【EZstick】ASUS X205 X205TA 防電磁波專用皮套 (筆記本款式)
"
出價紀錄(3)
            ",skni42,"3,200",8,"
問與答(3)
            ",2,1038,,上次登入：2016-06-05,【軒林數位科技】Acer 宏基 Aspire S3-951 全新原廠液晶螢幕上半套總成
"
出價紀錄(80)
            ",itnken,280,43,"
問與答(62)
            ",78,13706,,上次登入：2016-06-05,全新原廠 華碩 ASUS F6 F6A F6E F6H F6S F6V F6Ve F9 U6E U6Ep U6S U6Sg U6V U6VC U3 U3S U3Sg VX3 繁體 中文 鍵盤
"
出價紀錄(19)
            ",dodo790119,"1,290",767,"
問與答(7)
            ",17,24707,,上次登入：2016-06-05,【嘟嘟屋】Apple 蘋果原廠 60W T型 MagSafe 2 電源供應器 Macbook Air 變壓器 原廠充電器
"
出價紀錄(38)
            ",dodo790119,"1,290",413,"
問與答(26)
            ",35,24707,,上次登入：2016-06-05,【嘟嘟屋】保證蘋果原廠 Apple 45W L型 MagSafe 電源供應器 Macbook Air 變壓器 原廠充電器
"
出價紀錄(3)
            ",slf1224,"3,935",5,"
問與答(1)
            ",2,253,,上次登入：2016-06-04,ACER-TravelMate 6231 類雙核心12吋小筆電文書機
"
出價紀錄(25)
            ",itnken,630,33,"
問與答(10)
            ",25,13706,,上次登入：2016-06-05,英特奈 ASUS 華碩 A45V A45A A85 A85V A85VM R400 K45A K45D K45N K45V  A45VM R400V R400VD K45VM 原廠 繁體中文鍵盤 注音
"
出價紀錄(86)
            ",hidi730722,199,902,"
問與答(15)
            ",97,658,,上次登入：2016-06-04,Apple MAC Mini Display port to 轉 VGA 高畫質影像轉接換傳輸線器 電視投影機電腦螢幕
"
出價紀錄(114)
            ",little_samuelliu,150,25,"
問與答(57)
            ",140,22533,,上次登入：2016-06-03,*樂源*A1314 . MC184無線藍牙G6鍵盤膜 桌上型Apple iMac無線鍵盤Bluetooth藍芽鍵盤膜
"
出價紀錄(212)
            ",f67920,280,39,"
問與答(103)
            ",213,17192,,上次登入：2016-06-05,全新 宏碁 ACER Aspire One HAPPY Ferrari D255 D255E D257 D260 D270 532h 533 ZE6 PAV70 NAV50 BAV51 nav70 繁體 中文 鍵盤
"
出價紀錄(19)
            ",cardy0728,330,84,"
問與答(42)
            ",16,20768,,上次登入：2016-06-04,【EZstick】ASUS X550C 系列專用 二代透氣機身保護貼(含上蓋、鍵盤週圍)DIY 包膜
"
出價紀錄(4)
            ",j-pin,"1,799",2,"
問與答(4)
            ",3,203,,上次登入：2016-06-04,ASUS eeepc 701/CPU-M ULV535/ 1G記憶體/SSD-4G硬碟
"
出價紀錄(2)
            ",sentrataxi,"1,400",8,"
問與答(0)
            ",2,1796,,上次登入：2016-06-04,☆【全新 HP 原廠 mini-note mini 110 1109TU 1110TU 原廠電池 BX03 】☆【3cell 6cell 】
"
出價紀錄(44)
            ",itnken,350,7,"
問與答(20)
            ",44,13706,,上次登入：2016-06-05,英特奈 MSI 微星 GE60 原廠 筆電 CPU 散熱 風扇 
"
出價紀錄(21)
            ",anitab,"1,600",29,"
問與答(11)
            ",21,2372,,上次登入：2016-06-05,【漾屏屋】全新 A+ 華碩 A53S A53SJ A53SV A53T A53E A55V A55XI A55DR 
"
出價紀錄(16)
            ",slf1224,"3,500",1,"
問與答(17)
            ",13,253,,上次登入：2016-06-04,ACER  Aspire    筆電14吋win7 附office
"
出價紀錄(43)
            ",sz11,360,60,"
問與答(37)
            ",40,6911,,上次登入：2016-06-04,蘋果 筆記本 保護殼 mac air pro retina 11 12 13 15 寸 豹紋 筆電殼【CA8020】
"
出價紀錄(20)
            ",sssale2,89,972,"
問與答(0)
            ",26,12090,,上次登入：2016-06-04,Macbook 鍵盤蓋 Pro Mac imac MBP Air MBA 11/12/13/15 吋 專用 透明tpu 
"
出價紀錄(112)
            ",alphaness,40,56,"
問與答(37)
            ",144,1666,,上次登入：2016-06-04,【新款材質】ASUS X550JX X550JK X555LB X555LF 華碩 15.6吋 15吋 專用 鍵盤膜
"
出價紀錄(25)
            ",little_samuelliu,120,18,"
問與答(5)
            ",24,22533,,上次登入：2016-06-03, *樂源*Lenovo IdeaPad G50-80 鍵盤膜G51-35 V570 G570 G575 B570 保護膜
"
出價紀錄(1)
            ",ab670117,"3,000",20,"
問與答(9)
            ",1,681,,上次登入：2016-06-04,((專業面板維修)) IBM X200 &3000V &X201 X201I專用面板12.1吋摔壞破裂故障維修用
"
出價紀錄(67)
            ",mrgao_1,49,826,"
問與答(23)
            ",62,22120,,上次登入：2016-06-05,GS Shop Macbook 觸控板 軌跡板 保護貼 膜 防刮 Air Pro Retina 11/13/15/12
"
出價紀錄(29)
            ",itnken,190,973,"
問與答(18)
            ",26,13706,,上次登入：2016-06-05,ACER宏碁 Aspire 4820T 4820TG 4820TZ 4820TZG 4745G 4745Z 4553G 5745Z 5745P 5745G 5745DG 5745PG 5820G 5820T 5820TG CPU風扇
"
出價紀錄(15)
            ",itnken,430,9,"
問與答(8)
            ",15,13706,,上次登入：2016-06-05,☆REOK☆ 東芝 TOSHIBA Satellite L800 L805 L830 L840 L845 M800 M805 M840 C800 C805 C830 C840 C845 繁體 中文 鍵盤 TOL800
"
出價紀錄(4)
            ",cardy0728,430,99,"
問與答(0)
            ",1,20768,,上次登入：2016-06-04,【Ezstick】ASUS ZenBook UX360 專用 靜電式筆電LCD液晶螢幕貼 (可選鏡面防汙或高清霧面)
"
出價紀錄(97)
            ",dodo790119,"1,190",358,"
問與答(39)
            ",90,24707,,上次登入：2016-06-05,【嘟嘟屋】保證蘋果原廠 Apple 60W L型 MagSafe 電源供應器 Macbook Air 變壓器 原廠充電器
"
出價紀錄(3)
            ",slf1224,"6,500",1,"
問與答(6)
            ",3,253,,上次登入：2016-06-04,Acer aspire5920G雙核心獨顯15吋筆電win7系統可玩線上遊戲LOL
"
出價紀錄(23)
            ",limitstyle,29,886,"
問與答(1)
            ",113,707,,上次登入：2016-06-04,i線套Mac 蘋果紅 Mac充電線救星 Macbook Air Pro LimitStyle
"
出價紀錄(102)
            ",little_samuelliu,199,42,"
問與答(58)
            ",92,22533,,上次登入：2016-06-03,*樂源*微星 MSI GX70 3BE GT70 2OKWS GT60 GE60 GE70 GP70-2PE 鍵盤膜 
"
出價紀錄(9)
            ",slf1224,"3,000",2,"
問與答(16)
            ",6,253,,上次登入：2016-06-04,Msi 雙核心小筆電(黑/白10.1吋)win7附office
"
出價紀錄(185)
            ",f67920,420,108,"
問與答(72)
            ",182,17192,,上次登入：2016-06-05,全新 宏碁 acer Aspire AS 5755 5755G 5830 5830G 5830T 5830TG V3-531 V3-531G V3-551 V3-551G V3-571 AK14 繁體 中文 鍵盤
